Graph File,Graph Name,Version,Heuristic,Best Cost,Avg Cost,Worst Cost,Best Time (µs),Avg Time (µs),Worst Time (µs)
ch130,130 city problem (Churritz),Semi-Greedy 3,FI+2.5opt,6492.835,6492.835,6492.835,2526.844,2526.844,2526.844
ch130,130 city problem (Churritz),Semi-Greedy 3,MST,7926.438,8267.115,8484.356,190.397,228.698,308.747
ch130,130 city problem (Churritz),Semi-Greedy 3,MST+NSh,6442.811,6905.382,7200.103,1653.873,2216.206,6564.374
ch130,130 city problem (Churritz),Semi-Greedy 3,MST+2opt,6207.535,6314.761,6452.263,2505.338,3543.788,6542.949
ch130,130 city problem (Churritz),Semi-Greedy 3,MST+2.5opt,6193.193,6453.446,6759.188,4055.578,9435.173,20831.220
ch130,130 city problem (Churritz),Semi-Greedy 5,NN,14151.277,16058.659,18957.858,749.247,827.631,1096.996
ch130,130 city problem (Churritz),Semi-Greedy 5,NN+NSh,7117.575,7945.143,8964.555,2400.214,4564.744,9586.683
ch130,130 city problem (Churritz),Semi-Greedy 5,NN+2opt,6287.336,6622.399,7071.718,8097.825,9944.009,14821.162
ch130,130 city problem (Churritz),Semi-Greedy 5,NN+2.5opt,6233.809,6482.304,6905.239,12201.082,28469.981,47054.025
ch130,130 city problem (Churritz),Semi-Greedy 5,FI,6315.967,6315.967,6315.967,967.420,967.420,967.420
ch130,130 city problem (Churritz),Semi-Greedy 5,FI+NSh,6294.555,6294.555,6294.555,942.818,942.818,942.818
ch130,130 city problem (Churritz),Semi-Greedy 5,FI+2opt,6671.993,6671.993,6671.993,103.167,103.167,103.167
ch130,130 city problem (Churritz),Semi-Greedy 5,FI+2.5opt,6365.504,6365.504,6365.504,701.658,701.658,701.658
ch130,130 city problem (Churritz),Semi-Greedy 5,MST,7926.438,8267.115,8484.356,192.800,216.961,463.891
ch130,130 city problem (Churritz),Semi-Greedy 5,MST+NSh,6442.811,6905.382,7200.103,1663.682,2159.162,4052.532
ch130,130 city problem (Churritz),Semi-Greedy 5,MST+2opt,6207.535,6314.761,6452.263,2525.373,3614.820,6328.776
ch130,130 city problem (Churritz),Semi-Greedy 5,MST+2.5opt,6193.193,6453.446,6759.188,4790.375,9405.101,15556.162
ch150,150 city Problem (churritz),Greedy,NN,7078.445,7697.119,8451.159,461.658,496.201,968.108
ch150,150 city Problem (churritz),Greedy,NN+NSh,6835.581,7177.731,7610.255,1558.592,2646.271,6294.819
ch150,150 city Problem (churritz),Greedy,NN+2opt,6560.940,6695.940,6879.640,2293.278,4278.352,16817.901
ch150,150 city Problem (churritz),Greedy,NN+2.5opt,6585.737,6839.000,7209.009,2588.895,7728.324,15432.087
ch150,150 city Problem (churritz),Greedy,FI,6865.949,6865.949,6865.949,1368.222,1368.222,1368.222
ch150,150 city Problem (churritz),Greedy,FI+NSh,6688.326,6688.326,6688.326,4582.055,4582.055,4582.055
ch150,150 city Problem (churritz),Greedy,FI+2opt,6812.406,6812.406,6812.406,909.725,909.725,909.725
ch150,150 city Problem (churritz),Greedy,FI+2.5opt,6710.616,6710.616,6710.616,3305.510,3305.510,3305.510
ch150,150 city Problem (churritz),Greedy,MST,8842.803,9253.515,9580.985,366.948,391.388,901.403
ch150,150 city Problem (churritz),Greedy,MST+NSh,7211.422,7529.109,8021.607,1951.937,4098.789,7086.021
ch150,150 city Problem (churritz),Greedy,MST+2opt,6636.804,6835.897,7035.841,4317.755,5367.484,8061.621
ch150,150 city Problem (churritz),Greedy,MST+2.5opt,6566.271,6836.500,7189.493,7797.066,16388.503,25457.778
ch150,150 city Problem (churritz),Semi-Greedy 3,NN,11418.748,13280.665,15055.227,942.142,1075.326,2049.743
ch150,150 city Problem (churritz),Semi-Greedy 3,NN+NSh,7414.185,8192.294,9022.674,2228.866,5421.460,13301.747
ch150,150 city Problem (churritz),Semi-Greedy 3,NN+2opt,6675.590,7151.954,7518.013,9321.932,11916.281,16181.568
ch150,150 city Problem (churritz),Semi-Greedy 3,NN+2.5opt,6697.024,6977.118,7358.298,17113.696,32965.809,73046.884
ch150,150 city Problem (churritz),Semi-Greedy 3,FI,7141.139,7141.139,7141.139,1506.131,1506.131,1506.131
ch150,150 city Problem (churritz),Semi-Greedy 3,FI+NSh,7012.380,7012.380,7012.380,1705.982,1705.982,1705.982
ch150,150 city Problem (churritz),Semi-Greedy 3,FI+2opt,7250.689,7250.689,7250.689,472.241,472.241,472.241
ch150,150 city Problem (churritz),Semi-Greedy 3,FI+2.5opt,7036.458,7036.458,7036.458,5580.233,5580.233,5580.233
ch150,150 city Problem (churritz),Semi-Greedy 3,MST,8842.803,9253.515,9580.985,374.483,442.993,1144.008
ch150,150 city Problem (churritz),Semi-Greedy 3,MST+NSh,7211.422,7529.109,8021.607,1907.429,4505.223,11822.527
ch150,150 city Problem (churritz),Semi-Greedy 3,MST+2opt,6636.804,6835.897,7035.841,4294.165,6477.988,18685.382
ch150,150 city Problem (churritz),Semi-Greedy 3,MST+2.5opt,6566.271,6836.500,7189.493,8468.968,17581.320,28511.084
ch150,150 city Problem (churritz),Semi-Greedy 5,NN,14842.042,16665.714,18605.723,947.898,1108.971,1696.010
